dt_abertura;Semana;Ano;Mes;Dia;CurYTDFlag;LastYTDFlag;MesAno;Trimestre;SemanaAno;DiaSemana
20/04/1951;16;1951;abr;20;0;0;abr-1951;2º Trimestre;16-1951;sex
21/04/1951;16;1951;abr;21;0;0;abr-1951;2º Trimestre;16-1951;sáb
22/04/1951;17;1951;abr;22;0;0;abr-1951;2º Trimestre;17-1951;dom
23/04/1951;17;1951;abr;23;0;0;abr-1951;2º Trimestre;17-1951;seg
24/04/1951;17;1951;abr;24;0;0;abr-1951;2º Trimestre;17-1951;ter
25/04/1951;17;1951;abr;25;0;0;abr-1951;2º Trimestre;17-1951;qua
26/04/1951;17;1951;abr;26;0;0;abr-1951;2º Trimestre;17-1951;qui
27/04/1951;17;1951;abr;27;0;0;abr-1951;2º Trimestre;17-1951;sex
28/04/1951;17;1951;abr;28;0;0;abr-1951;2º Trimestre;17-1951;sáb
29/04/1951;18;1951;abr;29;0;0;abr-1951;2º Trimestre;18-1951;dom
30/04/1951;18;1951;abr;30;0;0;abr-1951;2º Trimestre;18-1951;seg
01/05/1951;18;1951;mai;1;0;0;mai-1951;2º Trimestre;18-1951;ter
02/05/1951;18;1951;mai;2;0;0;mai-1951;2º Trimestre;18-1951;qua
03/05/1951;18;1951;mai;3;0;0;mai-1951;2º Trimestre;18-1951;qui
04/05/1951;18;1951;mai;4;0;0;mai-1951;2º Trimestre;18-1951;sex
05/05/1951;18;1951;mai;5;0;0;mai-1951;2º Trimestre;18-1951;sáb
06/05/1951;19;1951;mai;6;0;0;mai-1951;2º Trimestre;19-1951;dom
07/05/1951;19;1951;mai;7;0;0;mai-1951;2º Trimestre;19-1951;seg
08/05/1951;19;1951;mai;8;0;0;mai-1951;2º Trimestre;19-1951;ter
09/05/1951;19;1951;mai;9;0;0;mai-1951;2º Trimestre;19-1951;qua
10/05/1951;19;1951;mai;10;0;0;mai-1951;2º Trimestre;19-1951;qui
11/05/1951;19;1951;mai;11;0;0;mai-1951;2º Trimestre;19-1951;sex
12/05/1951;19;1951;mai;12;0;0;mai-1951;2º Trimestre;19-1951;sáb
13/05/1951;20;1951;mai;13;0;0;mai-1951;2º Trimestre;20-1951;dom
14/05/1951;20;1951;mai;14;0;0;mai-1951;2º Trimestre;20-1951;seg
15/05/1951;20;1951;mai;15;0;0;mai-1951;2º Trimestre;20-1951;ter
16/05/1951;20;1951;mai;16;0;0;mai-1951;2º Trimestre;20-1951;qua
17/05/1951;20;1951;mai;17;0;0;mai-1951;2º Trimestre;20-1951;qui
18/05/1951;20;1951;mai;18;0;0;mai-1951;2º Trimestre;20-1951;sex
19/05/1951;20;1951;mai;19;0;0;mai-1951;2º Trimestre;20-1951;sáb
20/05/1951;21;1951;mai;20;0;0;mai-1951;2º Trimestre;21-1951;dom
21/05/1951;21;1951;mai;21;0;0;mai-1951;2º Trimestre;21-1951;seg
22/05/1951;21;1951;mai;22;0;0;mai-1951;2º Trimestre;21-1951;ter
23/05/1951;21;1951;mai;23;0;0;mai-1951;2º Trimestre;21-1951;qua
24/05/1951;21;1951;mai;24;0;0;mai-1951;2º Trimestre;21-1951;qui
25/05/1951;21;1951;mai;25;0;0;mai-1951;2º Trimestre;21-1951;sex
26/05/1951;21;1951;mai;26;0;0;mai-1951;2º Trimestre;21-1951;sáb
27/05/1951;22;1951;mai;27;0;0;mai-1951;2º Trimestre;22-1951;dom
28/05/1951;22;1951;mai;28;0;0;mai-1951;2º Trimestre;22-1951;seg
29/05/1951;22;1951;mai;29;0;0;mai-1951;2º Trimestre;22-1951;ter
30/05/1951;22;1951;mai;30;0;0;mai-1951;2º Trimestre;22-1951;qua
31/05/1951;22;1951;mai;31;0;0;mai-1951;2º Trimestre;22-1951;qui
01/06/1951;22;1951;jun;1;0;0;jun-1951;2º Trimestre;22-1951;sex
02/06/1951;22;1951;jun;2;0;0;jun-1951;2º Trimestre;22-1951;sáb
03/06/1951;23;1951;jun;3;0;0;jun-1951;2º Trimestre;23-1951;dom
04/06/1951;23;1951;jun;4;0;0;jun-1951;2º Trimestre;23-1951;seg
05/06/1951;23;1951;jun;5;0;0;jun-1951;2º Trimestre;23-1951;ter
06/06/1951;23;1951;jun;6;0;0;jun-1951;2º Trimestre;23-1951;qua
07/06/1951;23;1951;jun;7;0;0;jun-1951;2º Trimestre;23-1951;qui
08/06/1951;23;1951;jun;8;0;0;jun-1951;2º Trimestre;23-1951;sex
09/06/1951;23;1951;jun;9;0;0;jun-1951;2º Trimestre;23-1951;sáb
10/06/1951;24;1951;jun;10;0;0;jun-1951;2º Trimestre;24-1951;dom
11/06/1951;24;1951;jun;11;0;0;jun-1951;2º Trimestre;24-1951;seg
12/06/1951;24;1951;jun;12;0;0;jun-1951;2º Trimestre;24-1951;ter
13/06/1951;24;1951;jun;13;0;0;jun-1951;2º Trimestre;24-1951;qua
14/06/1951;24;1951;jun;14;0;0;jun-1951;2º Trimestre;24-1951;qui
15/06/1951;24;1951;jun;15;0;0;jun-1951;2º Trimestre;24-1951;sex
16/06/1951;24;1951;jun;16;0;0;jun-1951;2º Trimestre;24-1951;sáb
17/06/1951;25;1951;jun;17;0;0;jun-1951;2º Trimestre;25-1951;dom
18/06/1951;25;1951;jun;18;0;0;jun-1951;2º Trimestre;25-1951;seg
19/06/1951;25;1951;jun;19;0;0;jun-1951;2º Trimestre;25-1951;ter
20/06/1951;25;1951;jun;20;0;0;jun-1951;2º Trimestre;25-1951;qua
21/06/1951;25;1951;jun;21;0;0;jun-1951;2º Trimestre;25-1951;qui
22/06/1951;25;1951;jun;22;0;0;jun-1951;2º Trimestre;25-1951;sex
23/06/1951;25;1951;jun;23;0;0;jun-1951;2º Trimestre;25-1951;sáb
24/06/1951;26;1951;jun;24;0;0;jun-1951;2º Trimestre;26-1951;dom
25/06/1951;26;1951;jun;25;0;0;jun-1951;2º Trimestre;26-1951;seg
26/06/1951;26;1951;jun;26;0;0;jun-1951;2º Trimestre;26-1951;ter
27/06/1951;26;1951;jun;27;0;0;jun-1951;2º Trimestre;26-1951;qua
28/06/1951;26;1951;jun;28;0;0;jun-1951;2º Trimestre;26-1951;qui
29/06/1951;26;1951;jun;29;0;0;jun-1951;2º Trimestre;26-1951;sex
30/06/1951;26;1951;jun;30;0;0;jun-1951;2º Trimestre;26-1951;sáb
01/07/1951;27;1951;jul;1;0;0;jul-1951;3º Trimestre;27-1951;dom
02/07/1951;27;1951;jul;2;0;0;jul-1951;3º Trimestre;27-1951;seg
03/07/1951;27;1951;jul;3;0;0;jul-1951;3º Trimestre;27-1951;ter
04/07/1951;27;1951;jul;4;0;0;jul-1951;3º Trimestre;27-1951;qua
05/07/1951;27;1951;jul;5;0;0;jul-1951;3º Trimestre;27-1951;qui
06/07/1951;27;1951;jul;6;0;0;jul-1951;3º Trimestre;27-1951;sex
07/07/1951;27;1951;jul;7;0;0;jul-1951;3º Trimestre;27-1951;sáb
08/07/1951;28;1951;jul;8;0;0;jul-1951;3º Trimestre;28-1951;dom
09/07/1951;28;1951;jul;9;0;0;jul-1951;3º Trimestre;28-1951;seg
10/07/1951;28;1951;jul;10;0;0;jul-1951;3º Trimestre;28-1951;ter
11/07/1951;28;1951;jul;11;0;0;jul-1951;3º Trimestre;28-1951;qua
12/07/1951;28;1951;jul;12;0;0;jul-1951;3º Trimestre;28-1951;qui
13/07/1951;28;1951;jul;13;0;0;jul-1951;3º Trimestre;28-1951;sex
14/07/1951;28;1951;jul;14;0;0;jul-1951;3º Trimestre;28-1951;sáb
15/07/1951;29;1951;jul;15;0;0;jul-1951;3º Trimestre;29-1951;dom
16/07/1951;29;1951;jul;16;0;0;jul-1951;3º Trimestre;29-1951;seg
17/07/1951;29;1951;jul;17;0;0;jul-1951;3º Trimestre;29-1951;ter
18/07/1951;29;1951;jul;18;0;0;jul-1951;3º Trimestre;29-1951;qua
19/07/1951;29;1951;jul;19;0;0;jul-1951;3º Trimestre;29-1951;qui
20/07/1951;29;1951;jul;20;0;0;jul-1951;3º Trimestre;29-1951;sex
21/07/1951;29;1951;jul;21;0;0;jul-1951;3º Trimestre;29-1951;sáb
22/07/1951;30;1951;jul;22;0;0;jul-1951;3º Trimestre;30-1951;dom
23/07/1951;30;1951;jul;23;0;0;jul-1951;3º Trimestre;30-1951;seg
24/07/1951;30;1951;jul;24;0;0;jul-1951;3º Trimestre;30-1951;ter
25/07/1951;30;1951;jul;25;0;0;jul-1951;3º Trimestre;30-1951;qua
26/07/1951;30;1951;jul;26;0;0;jul-1951;3º Trimestre;30-1951;qui
27/07/1951;30;1951;jul;27;0;0;jul-1951;3º Trimestre;30-1951;sex
28/07/1951;30;1951;jul;28;0;0;jul-1951;3º Trimestre;30-1951;sáb
29/07/1951;31;1951;jul;29;0;0;jul-1951;3º Trimestre;31-1951;dom
30/07/1951;31;1951;jul;30;0;0;jul-1951;3º Trimestre;31-1951;seg
31/07/1951;31;1951;jul;31;0;0;jul-1951;3º Trimestre;31-1951;ter
01/08/1951;31;1951;ago;1;0;0;ago-1951;3º Trimestre;31-1951;qua
02/08/1951;31;1951;ago;2;0;0;ago-1951;3º Trimestre;31-1951;qui
03/08/1951;31;1951;ago;3;0;0;ago-1951;3º Trimestre;31-1951;sex
04/08/1951;31;1951;ago;4;0;0;ago-1951;3º Trimestre;31-1951;sáb
05/08/1951;32;1951;ago;5;0;0;ago-1951;3º Trimestre;32-1951;dom
06/08/1951;32;1951;ago;6;0;0;ago-1951;3º Trimestre;32-1951;seg
07/08/1951;32;1951;ago;7;0;0;ago-1951;3º Trimestre;32-1951;ter
08/08/1951;32;1951;ago;8;0;0;ago-1951;3º Trimestre;32-1951;qua
09/08/1951;32;1951;ago;9;0;0;ago-1951;3º Trimestre;32-1951;qui
10/08/1951;32;1951;ago;10;0;0;ago-1951;3º Trimestre;32-1951;sex
11/08/1951;32;1951;ago;11;0;0;ago-1951;3º Trimestre;32-1951;sáb
12/08/1951;33;1951;ago;12;0;0;ago-1951;3º Trimestre;33-1951;dom
13/08/1951;33;1951;ago;13;0;0;ago-1951;3º Trimestre;33-1951;seg
14/08/1951;33;1951;ago;14;0;0;ago-1951;3º Trimestre;33-1951;ter
15/08/1951;33;1951;ago;15;0;0;ago-1951;3º Trimestre;33-1951;qua
16/08/1951;33;1951;ago;16;0;0;ago-1951;3º Trimestre;33-1951;qui
17/08/1951;33;1951;ago;17;0;0;ago-1951;3º Trimestre;33-1951;sex
18/08/1951;33;1951;ago;18;0;0;ago-1951;3º Trimestre;33-1951;sáb
19/08/1951;34;1951;ago;19;0;0;ago-1951;3º Trimestre;34-1951;dom
20/08/1951;34;1951;ago;20;0;0;ago-1951;3º Trimestre;34-1951;seg
21/08/1951;34;1951;ago;21;0;0;ago-1951;3º Trimestre;34-1951;ter
22/08/1951;34;1951;ago;22;0;0;ago-1951;3º Trimestre;34-1951;qua
23/08/1951;34;1951;ago;23;0;0;ago-1951;3º Trimestre;34-1951;qui
24/08/1951;34;1951;ago;24;0;0;ago-1951;3º Trimestre;34-1951;sex
25/08/1951;34;1951;ago;25;0;0;ago-1951;3º Trimestre;34-1951;sáb
26/08/1951;35;1951;ago;26;0;0;ago-1951;3º Trimestre;35-1951;dom
27/08/1951;35;1951;ago;27;0;0;ago-1951;3º Trimestre;35-1951;seg
28/08/1951;35;1951;ago;28;0;0;ago-1951;3º Trimestre;35-1951;ter
29/08/1951;35;1951;ago;29;0;0;ago-1951;3º Trimestre;35-1951;qua
30/08/1951;35;1951;ago;30;0;0;ago-1951;3º Trimestre;35-1951;qui
31/08/1951;35;1951;ago;31;0;0;ago-1951;3º Trimestre;35-1951;sex
01/09/1951;35;1951;set;1;0;0;set-1951;3º Trimestre;35-1951;sáb
02/09/1951;36;1951;set;2;0;0;set-1951;3º Trimestre;36-1951;dom
03/09/1951;36;1951;set;3;0;0;set-1951;3º Trimestre;36-1951;seg
04/09/1951;36;1951;set;4;0;0;set-1951;3º Trimestre;36-1951;ter
05/09/1951;36;1951;set;5;0;0;set-1951;3º Trimestre;36-1951;qua
06/09/1951;36;1951;set;6;0;0;set-1951;3º Trimestre;36-1951;qui
07/09/1951;36;1951;set;7;0;0;set-1951;3º Trimestre;36-1951;sex
08/09/1951;36;1951;set;8;0;0;set-1951;3º Trimestre;36-1951;sáb
09/09/1951;37;1951;set;9;0;0;set-1951;3º Trimestre;37-1951;dom
10/09/1951;37;1951;set;10;0;0;set-1951;3º Trimestre;37-1951;seg
11/09/1951;37;1951;set;11;0;0;set-1951;3º Trimestre;37-1951;ter
12/09/1951;37;1951;set;12;0;0;set-1951;3º Trimestre;37-1951;qua
13/09/1951;37;1951;set;13;0;0;set-1951;3º Trimestre;37-1951;qui
14/09/1951;37;1951;set;14;0;0;set-1951;3º Trimestre;37-1951;sex
15/09/1951;37;1951;set;15;0;0;set-1951;3º Trimestre;37-1951;sáb
16/09/1951;38;1951;set;16;0;0;set-1951;3º Trimestre;38-1951;dom
17/09/1951;38;1951;set;17;0;0;set-1951;3º Trimestre;38-1951;seg
18/09/1951;38;1951;set;18;0;0;set-1951;3º Trimestre;38-1951;ter
19/09/1951;38;1951;set;19;0;0;set-1951;3º Trimestre;38-1951;qua
20/09/1951;38;1951;set;20;0;0;set-1951;3º Trimestre;38-1951;qui
21/09/1951;38;1951;set;21;0;0;set-1951;3º Trimestre;38-1951;sex
22/09/1951;38;1951;set;22;0;0;set-1951;3º Trimestre;38-1951;sáb
23/09/1951;39;1951;set;23;0;0;set-1951;3º Trimestre;39-1951;dom
24/09/1951;39;1951;set;24;0;0;set-1951;3º Trimestre;39-1951;seg
25/09/1951;39;1951;set;25;0;0;set-1951;3º Trimestre;39-1951;ter
26/09/1951;39;1951;set;26;0;0;set-1951;3º Trimestre;39-1951;qua
27/09/1951;39;1951;set;27;0;0;set-1951;3º Trimestre;39-1951;qui
28/09/1951;39;1951;set;28;0;0;set-1951;3º Trimestre;39-1951;sex
29/09/1951;39;1951;set;29;0;0;set-1951;3º Trimestre;39-1951;sáb
30/09/1951;40;1951;set;30;0;0;set-1951;3º Trimestre;40-1951;dom
01/10/1951;40;1951;out;1;0;0;out-1951;4º Trimestre;40-1951;seg
02/10/1951;40;1951;out;2;0;0;out-1951;4º Trimestre;40-1951;ter
03/10/1951;40;1951;out;3;0;0;out-1951;4º Trimestre;40-1951;qua
04/10/1951;40;1951;out;4;0;0;out-1951;4º Trimestre;40-1951;qui
05/10/1951;40;1951;out;5;0;0;out-1951;4º Trimestre;40-1951;sex
06/10/1951;40;1951;out;6;0;0;out-1951;4º Trimestre;40-1951;sáb
07/10/1951;41;1951;out;7;0;0;out-1951;4º Trimestre;41-1951;dom
08/10/1951;41;1951;out;8;0;0;out-1951;4º Trimestre;41-1951;seg
09/10/1951;41;1951;out;9;0;0;out-1951;4º Trimestre;41-1951;ter
10/10/1951;41;1951;out;10;0;0;out-1951;4º Trimestre;41-1951;qua
11/10/1951;41;1951;out;11;0;0;out-1951;4º Trimestre;41-1951;qui
12/10/1951;41;1951;out;12;0;0;out-1951;4º Trimestre;41-1951;sex
13/10/1951;41;1951;out;13;0;0;out-1951;4º Trimestre;41-1951;sáb
14/10/1951;42;1951;out;14;0;0;out-1951;4º Trimestre;42-1951;dom
15/10/1951;42;1951;out;15;0;0;out-1951;4º Trimestre;42-1951;seg
16/10/1951;42;1951;out;16;0;0;out-1951;4º Trimestre;42-1951;ter
17/10/1951;42;1951;out;17;0;0;out-1951;4º Trimestre;42-1951;qua
18/10/1951;42;1951;out;18;0;0;out-1951;4º Trimestre;42-1951;qui
19/10/1951;42;1951;out;19;0;0;out-1951;4º Trimestre;42-1951;sex
20/10/1951;42;1951;out;20;0;0;out-1951;4º Trimestre;42-1951;sáb
21/10/1951;43;1951;out;21;0;0;out-1951;4º Trimestre;43-1951;dom
22/10/1951;43;1951;out;22;0;0;out-1951;4º Trimestre;43-1951;seg
23/10/1951;43;1951;out;23;0;0;out-1951;4º Trimestre;43-1951;ter
24/10/1951;43;1951;out;24;0;0;out-1951;4º Trimestre;43-1951;qua
25/10/1951;43;1951;out;25;0;0;out-1951;4º Trimestre;43-1951;qui
26/10/1951;43;1951;out;26;0;0;out-1951;4º Trimestre;43-1951;sex
27/10/1951;43;1951;out;27;0;0;out-1951;4º Trimestre;43-1951;sáb
28/10/1951;44;1951;out;28;0;0;out-1951;4º Trimestre;44-1951;dom
29/10/1951;44;1951;out;29;0;0;out-1951;4º Trimestre;44-1951;seg
30/10/1951;44;1951;out;30;0;0;out-1951;4º Trimestre;44-1951;ter
31/10/1951;44;1951;out;31;0;0;out-1951;4º Trimestre;44-1951;qua
01/11/1951;44;1951;nov;1;0;0;nov-1951;4º Trimestre;44-1951;qui
02/11/1951;44;1951;nov;2;0;0;nov-1951;4º Trimestre;44-1951;sex
03/11/1951;44;1951;nov;3;0;0;nov-1951;4º Trimestre;44-1951;sáb
04/11/1951;45;1951;nov;4;0;0;nov-1951;4º Trimestre;45-1951;dom
05/11/1951;45;1951;nov;5;0;0;nov-1951;4º Trimestre;45-1951;seg
06/11/1951;45;1951;nov;6;0;0;nov-1951;4º Trimestre;45-1951;ter
07/11/1951;45;1951;nov;7;0;0;nov-1951;4º Trimestre;45-1951;qua
08/11/1951;45;1951;nov;8;0;0;nov-1951;4º Trimestre;45-1951;qui
09/11/1951;45;1951;nov;9;0;0;nov-1951;4º Trimestre;45-1951;sex
10/11/1951;45;1951;nov;10;0;0;nov-1951;4º Trimestre;45-1951;sáb
11/11/1951;46;1951;nov;11;0;0;nov-1951;4º Trimestre;46-1951;dom
12/11/1951;46;1951;nov;12;0;0;nov-1951;4º Trimestre;46-1951;seg
13/11/1951;46;1951;nov;13;0;0;nov-1951;4º Trimestre;46-1951;ter
14/11/1951;46;1951;nov;14;0;0;nov-1951;4º Trimestre;46-1951;qua
15/11/1951;46;1951;nov;15;0;0;nov-1951;4º Trimestre;46-1951;qui
16/11/1951;46;1951;nov;16;0;0;nov-1951;4º Trimestre;46-1951;sex
17/11/1951;46;1951;nov;17;0;0;nov-1951;4º Trimestre;46-1951;sáb
18/11/1951;47;1951;nov;18;0;0;nov-1951;4º Trimestre;47-1951;dom
19/11/1951;47;1951;nov;19;0;0;nov-1951;4º Trimestre;47-1951;seg
20/11/1951;47;1951;nov;20;0;0;nov-1951;4º Trimestre;47-1951;ter
21/11/1951;47;1951;nov;21;0;0;nov-1951;4º Trimestre;47-1951;qua
22/11/1951;47;1951;nov;22;0;0;nov-1951;4º Trimestre;47-1951;qui
23/11/1951;47;1951;nov;23;0;0;nov-1951;4º Trimestre;47-1951;sex
24/11/1951;47;1951;nov;24;0;0;nov-1951;4º Trimestre;47-1951;sáb
25/11/1951;48;1951;nov;25;0;0;nov-1951;4º Trimestre;48-1951;dom
26/11/1951;48;1951;nov;26;0;0;nov-1951;4º Trimestre;48-1951;seg
27/11/1951;48;1951;nov;27;0;0;nov-1951;4º Trimestre;48-1951;ter
28/11/1951;48;1951;nov;28;0;0;nov-1951;4º Trimestre;48-1951;qua
29/11/1951;48;1951;nov;29;0;0;nov-1951;4º Trimestre;48-1951;qui
30/11/1951;48;1951;nov;30;0;0;nov-1951;4º Trimestre;48-1951;sex
01/12/1951;48;1951;dez;1;0;0;dez-1951;4º Trimestre;48-1951;sáb
02/12/1951;49;1951;dez;2;0;0;dez-1951;4º Trimestre;49-1951;dom
03/12/1951;49;1951;dez;3;0;0;dez-1951;4º Trimestre;49-1951;seg
04/12/1951;49;1951;dez;4;0;0;dez-1951;4º Trimestre;49-1951;ter
05/12/1951;49;1951;dez;5;0;0;dez-1951;4º Trimestre;49-1951;qua
06/12/1951;49;1951;dez;6;0;0;dez-1951;4º Trimestre;49-1951;qui
07/12/1951;49;1951;dez;7;0;0;dez-1951;4º Trimestre;49-1951;sex
08/12/1951;49;1951;dez;8;0;0;dez-1951;4º Trimestre;49-1951;sáb
09/12/1951;50;1951;dez;9;0;0;dez-1951;4º Trimestre;50-1951;dom
10/12/1951;50;1951;dez;10;0;0;dez-1951;4º Trimestre;50-1951;seg
11/12/1951;50;1951;dez;11;0;0;dez-1951;4º Trimestre;50-1951;ter
12/12/1951;50;1951;dez;12;0;0;dez-1951;4º Trimestre;50-1951;qua
13/12/1951;50;1951;dez;13;0;0;dez-1951;4º Trimestre;50-1951;qui
14/12/1951;50;1951;dez;14;0;0;dez-1951;4º Trimestre;50-1951;sex
15/12/1951;50;1951;dez;15;0;0;dez-1951;4º Trimestre;50-1951;sáb
16/12/1951;51;1951;dez;16;0;0;dez-1951;4º Trimestre;51-1951;dom
17/12/1951;51;1951;dez;17;0;0;dez-1951;4º Trimestre;51-1951;seg
18/12/1951;51;1951;dez;18;0;0;dez-1951;4º Trimestre;51-1951;ter
19/12/1951;51;1951;dez;19;0;0;dez-1951;4º Trimestre;51-1951;qua
20/12/1951;51;1951;dez;20;0;0;dez-1951;4º Trimestre;51-1951;qui
21/12/1951;51;1951;dez;21;0;0;dez-1951;4º Trimestre;51-1951;sex
22/12/1951;51;1951;dez;22;0;0;dez-1951;4º Trimestre;51-1951;sáb
23/12/1951;52;1951;dez;23;0;0;dez-1951;4º Trimestre;52-1951;dom
24/12/1951;52;1951;dez;24;0;0;dez-1951;4º Trimestre;52-1951;seg
25/12/1951;52;1951;dez;25;0;0;dez-1951;4º Trimestre;52-1951;ter
26/12/1951;52;1951;dez;26;0;0;dez-1951;4º Trimestre;52-1951;qua
27/12/1951;52;1951;dez;27;0;0;dez-1951;4º Trimestre;52-1951;qui
28/12/1951;52;1951;dez;28;0;0;dez-1951;4º Trimestre;52-1951;sex
29/12/1951;52;1951;dez;29;0;0;dez-1951;4º Trimestre;52-1951;sáb
30/12/1951;53;1951;dez;30;0;0;dez-1951;4º Trimestre;53-1951;dom
31/12/1951;53;1951;dez;31;0;0;dez-1951;4º Trimestre;53-1952;seg
01/01/1952;1;1952;jan;1;0;0;jan-1952;1º Trimestre;53-1952;ter
02/01/1952;1;1952;jan;2;0;0;jan-1952;1º Trimestre;53-1952;qua
03/01/1952;1;1952;jan;3;0;0;jan-1952;1º Trimestre;53-1952;qui
04/01/1952;1;1952;jan;4;0;0;jan-1952;1º Trimestre;53-1952;sex
05/01/1952;1;1952;jan;5;0;0;jan-1952;1º Trimestre;53-1952;sáb
06/01/1952;2;1952;jan;6;0;0;jan-1952;1º Trimestre;2-1952;dom
07/01/1952;2;1952;jan;7;0;0;jan-1952;1º Trimestre;2-1952;seg
08/01/1952;2;1952;jan;8;0;0;jan-1952;1º Trimestre;2-1952;ter
09/01/1952;2;1952;jan;9;0;0;jan-1952;1º Trimestre;2-1952;qua
10/01/1952;2;1952;jan;10;0;0;jan-1952;1º Trimestre;2-1952;qui
11/01/1952;2;1952;jan;11;0;0;jan-1952;1º Trimestre;2-1952;sex
12/01/1952;2;1952;jan;12;0;0;jan-1952;1º Trimestre;2-1952;sáb
13/01/1952;3;1952;jan;13;0;0;jan-1952;1º Trimestre;3-1952;dom
14/01/1952;3;1952;jan;14;0;0;jan-1952;1º Trimestre;3-1952;seg
15/01/1952;3;1952;jan;15;0;0;jan-1952;1º Trimestre;3-1952;ter
16/01/1952;3;1952;jan;16;0;0;jan-1952;1º Trimestre;3-1952;qua
17/01/1952;3;1952;jan;17;0;0;jan-1952;1º Trimestre;3-1952;qui
18/01/1952;3;1952;jan;18;0;0;jan-1952;1º Trimestre;3-1952;sex
19/01/1952;3;1952;jan;19;0;0;jan-1952;1º Trimestre;3-1952;sáb
20/01/1952;4;1952;jan;20;0;0;jan-1952;1º Trimestre;4-1952;dom
21/01/1952;4;1952;jan;21;0;0;jan-1952;1º Trimestre;4-1952;seg
22/01/1952;4;1952;jan;22;0;0;jan-1952;1º Trimestre;4-1952;ter
23/01/1952;4;1952;jan;23;0;0;jan-1952;1º Trimestre;4-1952;qua
24/01/1952;4;1952;jan;24;0;0;jan-1952;1º Trimestre;4-1952;qui
25/01/1952;4;1952;jan;25;0;0;jan-1952;1º Trimestre;4-1952;sex
26/01/1952;4;1952;jan;26;0;0;jan-1952;1º Trimestre;4-1952;sáb
27/01/1952;5;1952;jan;27;0;0;jan-1952;1º Trimestre;5-1952;dom
28/01/1952;5;1952;jan;28;0;0;jan-1952;1º Trimestre;5-1952;seg
29/01/1952;5;1952;jan;29;0;0;jan-1952;1º Trimestre;5-1952;ter
30/01/1952;5;1952;jan;30;0;0;jan-1952;1º Trimestre;5-1952;qua
31/01/1952;5;1952;jan;31;0;0;jan-1952;1º Trimestre;5-1952;qui
01/02/1952;5;1952;fev;1;0;0;fev-1952;1º Trimestre;5-1952;sex
02/02/1952;5;1952;fev;2;0;0;fev-1952;1º Trimestre;5-1952;sáb
03/02/1952;6;1952;fev;3;0;0;fev-1952;1º Trimestre;6-1952;dom
04/02/1952;6;1952;fev;4;0;0;fev-1952;1º Trimestre;6-1952;seg
05/02/1952;6;1952;fev;5;0;0;fev-1952;1º Trimestre;6-1952;ter
06/02/1952;6;1952;fev;6;0;0;fev-1952;1º Trimestre;6-1952;qua
07/02/1952;6;1952;fev;7;0;0;fev-1952;1º Trimestre;6-1952;qui
08/02/1952;6;1952;fev;8;0;0;fev-1952;1º Trimestre;6-1952;sex
09/02/1952;6;1952;fev;9;0;0;fev-1952;1º Trimestre;6-1952;sáb
10/02/1952;7;1952;fev;10;0;0;fev-1952;1º Trimestre;7-1952;dom
11/02/1952;7;1952;fev;11;0;0;fev-1952;1º Trimestre;7-1952;seg
12/02/1952;7;1952;fev;12;0;0;fev-1952;1º Trimestre;7-1952;ter
13/02/1952;7;1952;fev;13;0;0;fev-1952;1º Trimestre;7-1952;qua
14/02/1952;7;1952;fev;14;0;0;fev-1952;1º Trimestre;7-1952;qui
15/02/1952;7;1952;fev;15;0;0;fev-1952;1º Trimestre;7-1952;sex
16/02/1952;7;1952;fev;16;0;0;fev-1952;1º Trimestre;7-1952;sáb
17/02/1952;8;1952;fev;17;0;0;fev-1952;1º Trimestre;8-1952;dom
18/02/1952;8;1952;fev;18;0;0;fev-1952;1º Trimestre;8-1952;seg
19/02/1952;8;1952;fev;19;0;0;fev-1952;1º Trimestre;8-1952;ter
20/02/1952;8;1952;fev;20;0;0;fev-1952;1º Trimestre;8-1952;qua
21/02/1952;8;1952;fev;21;0;0;fev-1952;1º Trimestre;8-1952;qui
22/02/1952;8;1952;fev;22;0;0;fev-1952;1º Trimestre;8-1952;sex
23/02/1952;8;1952;fev;23;0;0;fev-1952;1º Trimestre;8-1952;sáb
24/02/1952;9;1952;fev;24;0;0;fev-1952;1º Trimestre;9-1952;dom
25/02/1952;9;1952;fev;25;0;0;fev-1952;1º Trimestre;9-1952;seg
26/02/1952;9;1952;fev;26;0;0;fev-1952;1º Trimestre;9-1952;ter
27/02/1952;9;1952;fev;27;0;0;fev-1952;1º Trimestre;9-1952;qua
28/02/1952;9;1952;fev;28;0;0;fev-1952;1º Trimestre;9-1952;qui
29/02/1952;9;1952;fev;29;0;0;fev-1952;1º Trimestre;9-1952;sex
01/03/1952;9;1952;mar;1;0;0;mar-1952;1º Trimestre;9-1952;sáb
02/03/1952;10;1952;mar;2;0;0;mar-1952;1º Trimestre;10-1952;dom
03/03/1952;10;1952;mar;3;0;0;mar-1952;1º Trimestre;10-1952;seg
04/03/1952;10;1952;mar;4;0;0;mar-1952;1º Trimestre;10-1952;ter
05/03/1952;10;1952;mar;5;0;0;mar-1952;1º Trimestre;10-1952;qua
06/03/1952;10;1952;mar;6;0;0;mar-1952;1º Trimestre;10-1952;qui
07/03/1952;10;1952;mar;7;0;0;mar-1952;1º Trimestre;10-1952;sex
08/03/1952;10;1952;mar;8;0;0;mar-1952;1º Trimestre;10-1952;sáb
09/03/1952;11;1952;mar;9;0;0;mar-1952;1º Trimestre;11-1952;dom
