dt_abertura;Semana;Ano;Mes;Dia;CurYTDFlag;LastYTDFlag;MesAno;Trimestre;SemanaAno;DiaSemana
05/03/1942;10;1942;mar;5;0;0;mar-1942;1º Trimestre;10-1942;qui
06/03/1942;10;1942;mar;6;0;0;mar-1942;1º Trimestre;10-1942;sex
07/03/1942;10;1942;mar;7;0;0;mar-1942;1º Trimestre;10-1942;sáb
08/03/1942;11;1942;mar;8;0;0;mar-1942;1º Trimestre;11-1942;dom
09/03/1942;11;1942;mar;9;0;0;mar-1942;1º Trimestre;11-1942;seg
10/03/1942;11;1942;mar;10;0;0;mar-1942;1º Trimestre;11-1942;ter
11/03/1942;11;1942;mar;11;0;0;mar-1942;1º Trimestre;11-1942;qua
12/03/1942;11;1942;mar;12;0;0;mar-1942;1º Trimestre;11-1942;qui
13/03/1942;11;1942;mar;13;0;0;mar-1942;1º Trimestre;11-1942;sex
14/03/1942;11;1942;mar;14;0;0;mar-1942;1º Trimestre;11-1942;sáb
15/03/1942;12;1942;mar;15;0;0;mar-1942;1º Trimestre;12-1942;dom
16/03/1942;12;1942;mar;16;0;0;mar-1942;1º Trimestre;12-1942;seg
17/03/1942;12;1942;mar;17;0;0;mar-1942;1º Trimestre;12-1942;ter
18/03/1942;12;1942;mar;18;0;0;mar-1942;1º Trimestre;12-1942;qua
19/03/1942;12;1942;mar;19;0;0;mar-1942;1º Trimestre;12-1942;qui
20/03/1942;12;1942;mar;20;0;0;mar-1942;1º Trimestre;12-1942;sex
21/03/1942;12;1942;mar;21;0;0;mar-1942;1º Trimestre;12-1942;sáb
22/03/1942;13;1942;mar;22;0;0;mar-1942;1º Trimestre;13-1942;dom
23/03/1942;13;1942;mar;23;0;0;mar-1942;1º Trimestre;13-1942;seg
24/03/1942;13;1942;mar;24;0;0;mar-1942;1º Trimestre;13-1942;ter
25/03/1942;13;1942;mar;25;0;0;mar-1942;1º Trimestre;13-1942;qua
26/03/1942;13;1942;mar;26;0;0;mar-1942;1º Trimestre;13-1942;qui
27/03/1942;13;1942;mar;27;0;0;mar-1942;1º Trimestre;13-1942;sex
28/03/1942;13;1942;mar;28;0;0;mar-1942;1º Trimestre;13-1942;sáb
29/03/1942;14;1942;mar;29;0;0;mar-1942;1º Trimestre;14-1942;dom
30/03/1942;14;1942;mar;30;0;0;mar-1942;1º Trimestre;14-1942;seg
31/03/1942;14;1942;mar;31;0;0;mar-1942;1º Trimestre;14-1942;ter
01/04/1942;14;1942;abr;1;0;0;abr-1942;2º Trimestre;14-1942;qua
02/04/1942;14;1942;abr;2;0;0;abr-1942;2º Trimestre;14-1942;qui
03/04/1942;14;1942;abr;3;0;0;abr-1942;2º Trimestre;14-1942;sex
04/04/1942;14;1942;abr;4;0;0;abr-1942;2º Trimestre;14-1942;sáb
05/04/1942;15;1942;abr;5;0;0;abr-1942;2º Trimestre;15-1942;dom
06/04/1942;15;1942;abr;6;0;0;abr-1942;2º Trimestre;15-1942;seg
07/04/1942;15;1942;abr;7;0;0;abr-1942;2º Trimestre;15-1942;ter
08/04/1942;15;1942;abr;8;0;0;abr-1942;2º Trimestre;15-1942;qua
09/04/1942;15;1942;abr;9;0;0;abr-1942;2º Trimestre;15-1942;qui
10/04/1942;15;1942;abr;10;0;0;abr-1942;2º Trimestre;15-1942;sex
11/04/1942;15;1942;abr;11;0;0;abr-1942;2º Trimestre;15-1942;sáb
12/04/1942;16;1942;abr;12;0;0;abr-1942;2º Trimestre;16-1942;dom
13/04/1942;16;1942;abr;13;0;0;abr-1942;2º Trimestre;16-1942;seg
14/04/1942;16;1942;abr;14;0;0;abr-1942;2º Trimestre;16-1942;ter
15/04/1942;16;1942;abr;15;0;0;abr-1942;2º Trimestre;16-1942;qua
16/04/1942;16;1942;abr;16;0;0;abr-1942;2º Trimestre;16-1942;qui
17/04/1942;16;1942;abr;17;0;0;abr-1942;2º Trimestre;16-1942;sex
18/04/1942;16;1942;abr;18;0;0;abr-1942;2º Trimestre;16-1942;sáb
19/04/1942;17;1942;abr;19;0;0;abr-1942;2º Trimestre;17-1942;dom
20/04/1942;17;1942;abr;20;0;0;abr-1942;2º Trimestre;17-1942;seg
21/04/1942;17;1942;abr;21;0;0;abr-1942;2º Trimestre;17-1942;ter
22/04/1942;17;1942;abr;22;0;0;abr-1942;2º Trimestre;17-1942;qua
23/04/1942;17;1942;abr;23;0;0;abr-1942;2º Trimestre;17-1942;qui
24/04/1942;17;1942;abr;24;0;0;abr-1942;2º Trimestre;17-1942;sex
25/04/1942;17;1942;abr;25;0;0;abr-1942;2º Trimestre;17-1942;sáb
26/04/1942;18;1942;abr;26;0;0;abr-1942;2º Trimestre;18-1942;dom
27/04/1942;18;1942;abr;27;0;0;abr-1942;2º Trimestre;18-1942;seg
28/04/1942;18;1942;abr;28;0;0;abr-1942;2º Trimestre;18-1942;ter
29/04/1942;18;1942;abr;29;0;0;abr-1942;2º Trimestre;18-1942;qua
30/04/1942;18;1942;abr;30;0;0;abr-1942;2º Trimestre;18-1942;qui
01/05/1942;18;1942;mai;1;0;0;mai-1942;2º Trimestre;18-1942;sex
02/05/1942;18;1942;mai;2;0;0;mai-1942;2º Trimestre;18-1942;sáb
03/05/1942;19;1942;mai;3;0;0;mai-1942;2º Trimestre;19-1942;dom
04/05/1942;19;1942;mai;4;0;0;mai-1942;2º Trimestre;19-1942;seg
05/05/1942;19;1942;mai;5;0;0;mai-1942;2º Trimestre;19-1942;ter
06/05/1942;19;1942;mai;6;0;0;mai-1942;2º Trimestre;19-1942;qua
07/05/1942;19;1942;mai;7;0;0;mai-1942;2º Trimestre;19-1942;qui
08/05/1942;19;1942;mai;8;0;0;mai-1942;2º Trimestre;19-1942;sex
09/05/1942;19;1942;mai;9;0;0;mai-1942;2º Trimestre;19-1942;sáb
10/05/1942;20;1942;mai;10;0;0;mai-1942;2º Trimestre;20-1942;dom
11/05/1942;20;1942;mai;11;0;0;mai-1942;2º Trimestre;20-1942;seg
12/05/1942;20;1942;mai;12;0;0;mai-1942;2º Trimestre;20-1942;ter
13/05/1942;20;1942;mai;13;0;0;mai-1942;2º Trimestre;20-1942;qua
14/05/1942;20;1942;mai;14;0;0;mai-1942;2º Trimestre;20-1942;qui
15/05/1942;20;1942;mai;15;0;0;mai-1942;2º Trimestre;20-1942;sex
16/05/1942;20;1942;mai;16;0;0;mai-1942;2º Trimestre;20-1942;sáb
17/05/1942;21;1942;mai;17;0;0;mai-1942;2º Trimestre;21-1942;dom
18/05/1942;21;1942;mai;18;0;0;mai-1942;2º Trimestre;21-1942;seg
19/05/1942;21;1942;mai;19;0;0;mai-1942;2º Trimestre;21-1942;ter
20/05/1942;21;1942;mai;20;0;0;mai-1942;2º Trimestre;21-1942;qua
21/05/1942;21;1942;mai;21;0;0;mai-1942;2º Trimestre;21-1942;qui
22/05/1942;21;1942;mai;22;0;0;mai-1942;2º Trimestre;21-1942;sex
23/05/1942;21;1942;mai;23;0;0;mai-1942;2º Trimestre;21-1942;sáb
24/05/1942;22;1942;mai;24;0;0;mai-1942;2º Trimestre;22-1942;dom
25/05/1942;22;1942;mai;25;0;0;mai-1942;2º Trimestre;22-1942;seg
26/05/1942;22;1942;mai;26;0;0;mai-1942;2º Trimestre;22-1942;ter
27/05/1942;22;1942;mai;27;0;0;mai-1942;2º Trimestre;22-1942;qua
28/05/1942;22;1942;mai;28;0;0;mai-1942;2º Trimestre;22-1942;qui
29/05/1942;22;1942;mai;29;0;0;mai-1942;2º Trimestre;22-1942;sex
30/05/1942;22;1942;mai;30;0;0;mai-1942;2º Trimestre;22-1942;sáb
31/05/1942;23;1942;mai;31;0;0;mai-1942;2º Trimestre;23-1942;dom
01/06/1942;23;1942;jun;1;0;0;jun-1942;2º Trimestre;23-1942;seg
02/06/1942;23;1942;jun;2;0;0;jun-1942;2º Trimestre;23-1942;ter
03/06/1942;23;1942;jun;3;0;0;jun-1942;2º Trimestre;23-1942;qua
04/06/1942;23;1942;jun;4;0;0;jun-1942;2º Trimestre;23-1942;qui
05/06/1942;23;1942;jun;5;0;0;jun-1942;2º Trimestre;23-1942;sex
06/06/1942;23;1942;jun;6;0;0;jun-1942;2º Trimestre;23-1942;sáb
07/06/1942;24;1942;jun;7;0;0;jun-1942;2º Trimestre;24-1942;dom
08/06/1942;24;1942;jun;8;0;0;jun-1942;2º Trimestre;24-1942;seg
09/06/1942;24;1942;jun;9;0;0;jun-1942;2º Trimestre;24-1942;ter
10/06/1942;24;1942;jun;10;0;0;jun-1942;2º Trimestre;24-1942;qua
11/06/1942;24;1942;jun;11;0;0;jun-1942;2º Trimestre;24-1942;qui
12/06/1942;24;1942;jun;12;0;0;jun-1942;2º Trimestre;24-1942;sex
13/06/1942;24;1942;jun;13;0;0;jun-1942;2º Trimestre;24-1942;sáb
14/06/1942;25;1942;jun;14;0;0;jun-1942;2º Trimestre;25-1942;dom
15/06/1942;25;1942;jun;15;0;0;jun-1942;2º Trimestre;25-1942;seg
16/06/1942;25;1942;jun;16;0;0;jun-1942;2º Trimestre;25-1942;ter
17/06/1942;25;1942;jun;17;0;0;jun-1942;2º Trimestre;25-1942;qua
18/06/1942;25;1942;jun;18;0;0;jun-1942;2º Trimestre;25-1942;qui
19/06/1942;25;1942;jun;19;0;0;jun-1942;2º Trimestre;25-1942;sex
20/06/1942;25;1942;jun;20;0;0;jun-1942;2º Trimestre;25-1942;sáb
