pk_cnae;nu_ordem_1;nu_ordem_2;nu_ordem_3;nu_ordem_4;nu_ordem_5;cd_ramo_atividade_1;cd_ramo_atividade_2;cd_ramo_atividade_3;cd_ramo_atividade_4;cd_ramo_atividade_5;de_ramo_atividade_1;de_ramo_atividade_2;de_ramo_atividade_3;de_ramo_atividade_4;de_ramo_atividade_5
1849;0;1;;;;5620102;8230001;;;;SERVICOS DE ALIMENTACAO PARA EVENTOS E RECEPCOES  BUFE;SERVICOS DE ORGANIZACAO DE FEIRAS CONGRESSOS EXPOSICOES E FESTAS;;;
35;0;;;;;6920601;;;;;ATIVIDADES DE CONTABILIDADE;;;;
375;0;;;;;9603304;;;;;SERVICOS DE FUNERARIAS;;;;
1812;0;1;2;3;4;4713002;4755502;4763601;4772500;4789001;COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO;COMERCIO VAREJISTA DE BRINQUEDOS E ARTIGOS RECREATIVOS;COMERCIO VAREJISTA DE COSMETICOS PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL;COMERCIO VAREJISTA DE SUVENIRES BIJUTERIAS E ARTESANATOS;LOJAS DE VARIEDADES EXCETO LOJAS DE DEPARTAMENTOS OU MAGAZINES
376;0;1;2;3;4;4651601;4652400;6202300;6203100;6209100;COMERCIO ATACADISTA DE COMPONENTES ELETRONICOS E EQUIPAMENTOS DE TELEFONIA E COMUNICACAO;COMERCIO ATACADISTA DE EQUIPAMENTOS DE INFORMATICA;DESENVOLVIMENTO E LICENCIAMENTO DE PROGRAMAS DE COMPUTADOR CUSTOMIZAVEIS;DESENVOLVIMENTO E LICENCIAMENTO DE PROGRAMAS DE COMPUTADOR NAOCUSTOMIZAVEIS;SUPORTE TECNICO MANUTENCAO E OUTROS SERVICOS EM TECNOLOGIA DA INFORMACAO
1345;0;;;;;4636201;;;;;COMERCIO ATACADISTA DE FUMO BENEFICIADO;;;;
377;0;1;;;;1412602;4789099;;;;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;CONFECCAO SOB MEDIDA DE PECAS DO VESTUARIO EXCETO ROUPAS INTIMAS;;;
2933;0;1;;;;4618499;4771704;;;;COMERCIO VAREJISTA DE MEDICAMENTOS VETERINARIOS;OUTROS REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO ESPECIALIZADO EM PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;;;
2843;0;1;;;;0119999;0134200;;;;CULTIVO DE CAFE;CULTIVO DE OUTRAS PLANTAS DE LAVOURA TEMPORARIA NAO ESPECIFICADAS ANTERIORMENTE;;;
1323;0;1;2;3;4;0810002;0990403;2391503;4679602;4930202;APARELHAMENTO DE PLACAS E EXECUCAO DE TRABALHOS EM MARMORE GRANITO ARDOSIA E OUTRAS PEDRAS;ATIVIDADES DE APOIO A EXTRACAO DE MINERAIS NAOMETALICOS;COMERCIO ATACADISTA DE MARMORES E GRANITOS;EXTRACAO DE GRANITO E BENEFICIAMENTO ASSOCIADO;TRANSPORTE RODOVIARIO DE CARGA EXCETO PRODUTOS PERIGOSOS E MUDANCAS INTERMUNICIPAL INTERESTADUAL E INTERNACIONAL
