pk_location;nm_logradouro;nu_logradouro;cd_cep;nm_bairro;nm_municipio;sg_uf;latitude;longitude;municipio_uf_pais
7251;RUA MARECHAL CURADA;421;97571540;PRADO;SANTANA DO LIVRAMENTO;RS;-30,8635563;-55,5420979;SANTANA DO LIVRAMENTO, RS, BR
7252;QMSW 5 BLOCO E;SN;70680500;SETOR SUDOESTE;BRASILIA;DF;-15,7690738;-47,8878604;BRASILIA, DF, BR
7253;RUA LADISLAU OBRIZUT;84;84500000;CENTRO;IRATI;PR;-25,4700302;-50,6509459;IRATI, PR, BR
7254;SITIO LAGOA;SN;18430000;BATISTAS;RIBEIRAO BRANCO;SP;-24,2210685;-48,7640116;RIBEIRAO BRANCO, SP, BR
7255;RUA RICARDO PONTE;188;60534020;PARQUE GENIBAU;FORTALEZA;CE;-3,7649235;-38,5998921;FORTALEZA, CE, BR
7256;RUA DALTRO FILHO;1551;95890000;TEUTONIA;TEUTONIA;RS;-29,4517055;-51,8057248;TEUTONIA, RS, BR
7257;RODOVIA JUVENAL PONCIANO DE CAMARGO;;12960000;MORRO GRANDE;NAZARE PAULISTA;SP;-23,1784176;-46,3976372;NAZARE PAULISTA, SP, BR
7258;AVENIDA PAULISTA;1471;01311200;BELA VISTA;SAO PAULO;SP;-23,562697;-46,6558495;SAO PAULO, SP, BR
7259;RUA PREFEITO OCATAVIO U SIMON;SN;89780000;CENTRO;XAVANTINA;SC;-27,0671871;-52,3435007;XAVANTINA, SC, BR
7260;RODOVIA BR 386;;92480000;PEDREIRA;NOVA SANTA RITA;RS;-29,8475259;-51,272194;NOVA SANTA RITA, RS, BR
7261;AVENIDA BENTO GONCALVES;159A;96490000;CENTRO;PIRATINI;RS;-31,4415643;-53,1054919;PIRATINI, RS, BR
7262;RUA 25 DE MARCO;181;63530000;SAO VICENTE;CARIUS;CE;-6,5423798;-39,4897125;CARIUS, CE, BR
7263;RUA SAO PAULO;211;18570000;CENTRO;CONCHAS;SP;-23,0123909;-48,0096554;CONCHAS, SP, BR
7264;;;;;;NI;-21,2525138;-48,3256762;, NI, BR
7265;RUA EVALDO CAMPOS JUNIOR;451;49039040;MOSQUEIRO;ARACAJU;SE;-11,0157243;-37,0745263;ARACAJU, SE, BR
7266;RUA PINTAGOL;75;86702460;JARDIM PRIMAVERA;ARAPONGAS;PR;-23,3938915;-51,4491829;ARAPONGAS, PR, BR
7267;RUA JOSE CALAZANS;48;59192000;CENTRO;VILA FLOR;RN;-6,3087812;-35,0694293;VILA FLOR, RN, BR
7268;RUA VIEIRA DE MELO;25;42840000;VILA DE ABRANTES;CAMACARI;BA;-12,6971776;-38,3331983;CAMACARI, BA, BR
7269;RUA DEPUTADO ANTONIO BRITO;453;48400000;CENTRO;RIBEIRA DO POMBAL;BA;-10,8376955;-38,5399149;RIBEIRA DO POMBAL, BA, BR
7270;RUA SIRIA JD DOIS MELROS;300;09402210;COLONIA;RIBEIRAO PIRES;SP;-23,7071623;-46,4062503;RIBEIRAO PIRES, SP, BR
7271;RUA BENEDITO LINO DO CARMO;1840;68904366;CONGOS;MACAPA;AP;0,0110006;-51,0890536;MACAPA, AP, BR
7272;RUA CARDOSO MOREIRA;7C;05766290;JARDIM OLINDA;SAO PAULO;SP;-23,632863;-46,6659087;SAO PAULO, SP, BR
7273;RUA SAO CLEMENTE;10;66830720;TAPANA ICOARACI;BELEM;PA;-1,3538335;-48,4661815;BELEM, PA, BR
7274;RUA JOAO CONTART;671;14500000;CENTRO;ITUVERAVA;SP;-20,3321971;-47,795158;ITUVERAVA, SP, BR
7275;RUA FREI SAMUEL;10;39960000;NOVA ESPERANCA;JEQUITINHONHA;MG;-16,4379493;-41,012097;JEQUITINHONHA, MG, BR
7276;AVENIDA JOAO MEIRELES;SN;73840000;RESIDENCIAL PORTAL DA SERRA;CAMPOS BELOS;GO;-13,017997;-46,7091767;CAMPOS BELOS, GO, BR
7277;AVENIDA PROFESSOR SYLLA MATTOS;758;04182010;JARDIM SANTA CRUZ;SAO PAULO;SP;-23,640973;-46,6002078;SAO PAULO, SP, BR
7278;AVENIDA ESPERANTO;35;45700000;CENTRO;ITAPETINGA;BA;-15,2438686;-40,2433475;ITAPETINGA, BA, BR
7279;AVENIDA JUQUINHA MENDONCA;73;38195000;CENTRO;CONQUISTA;MG;-19,9323074;-47,5488754;CONQUISTA, MG, BR
7280;RUA PRINCESA ISABEL;649;19700000;CENTRO;PARAGUACU PAULISTA;SP;-22,4093474;-50,5814769;PARAGUACU PAULISTA, SP, BR
7281;RUA CASTRO E SILVA;94;60030010;CENTRO;FORTALEZA;CE;-3,7241145;-38,5263416;FORTALEZA, CE, BR
7282;RESIDENCIAL SERRA DE SAO FRANCISCO;SN;64578000;URBANO;CAMPO GRANDE DO PIAUI;PI;-7,1286781;-41,0318535;CAMPO GRANDE DO PIAUI, PI, BR
7283;AVENIDA BERNARDO BARBOSA MILLEO;223;84240000;CENTRO;PIRAI DO SUL;PR;-24,5295543;-49,9441106;PIRAI DO SUL, PR, BR
7284;AVENIDA SAO MIGUEL DOS CARIBES;4492;59086500;NEOPOLIS;NATAL;RN;-5,8725494;-35,2088408;NATAL, RN, BR
7285;AVENIDA PROFESSOR SANTOS FERRAZ;213;57025040;POCO;MACEIO;AL;-9,6645813;-35,721597;MACEIO, AL, BR
7286;RUA JOAO MILLEO;275;84280000;CENTRO;CURIUVA;PR;-24,0323193;-50,4595674;CURIUVA, PR, BR
7287;RODOVIA MT 121;;78402000;NOVO DIAMANTINO;DIAMANTINO;MT;-14,599059;-56,2404191;DIAMANTINO, MT, BR
7288;RUA DONA ROSALINA;50;06322030;JARDIM DAS BELEZAS;CARAPICUIBA;SP;-23,5254226;-46,8350455;CARAPICUIBA, SP, BR
7289;RUA AVELINO DE LIMA;70;14876190;JARDIM BOA VISTA;JABOTICABAL;SP;-21,2525138;-48,3256762;JABOTICABAL, SP, BR
7290;RUA OTTO NASS;223;89223070;BOM RETIRO;JOINVILLE;SC;-26,2599681;-48,849355;JOINVILLE, SC, BR
7291;AVENIDA DA PAZ;1388;57020440;CENTRO;MACEIO;AL;-9,6693876;-35,7316877;MACEIO, AL, BR
9972;AVENIDA BARAO DE MELGACO;5192;76940000;CENTRO;ROLIM DE MOURA;RO;-11,7273168;-61,779457;ROLIM DE MOURA, RO, BR
7292;RUA PEDRO DE TOLEDO;278;07401355;VILA RIMAN;ARUJA;SP;-23,3915159;-46,3216466;ARUJA, SP, BR
7293;AVENIDA IGNES DE ALMEIDA PIRES;917;18760000;JARDIM SANTA IGNES;CERQUEIRA CESAR;SP;-23,044232;-49,1523625;CERQUEIRA CESAR, SP, BR
7294;AVENIDA PRESIDENTE ARTHUR DA SILVA BERNARDES;1801;80320300;PORTAO;CURITIBA;PR;-25,4673469;-49,298907;CURITIBA, PR, BR
7295;RANCHO SANTA EDWIRGES;SN;12500970;CAPITUBA;GUARATINGUETA;SP;-22,8080266;-45,1942201;GUARATINGUETA, SP, BR
7296;RUA JOSE FERNANDES VIEIRA;279;61940010;CENTRO;MARANGUAPE;CE;-3,8948769;-38,683205;MARANGUAPE, CE, BR
7297;AVENIDA DUQUE DE CAXIAS;477;86935000;CENTRO;LUNARDELLI;PR;-24,081151;-51,7442043;LUNARDELLI, PR, BR
7298;TRAVESSA JORGE COURA FILHO;10;35300071;CENTRO;CARATINGA;MG;-19,7898319;-42,1458399;CARATINGA, MG, BR
7299;RUA PROJETADA;SN;36596000;CENTRO;ARAPONGA;MG;-20,6690965;-42,5182528;ARAPONGA, MG, BR
7300;RUA FRANCA;1001;38760000;NACOES;SERRA DO SALITRE;MG;-19,1098255;-46,6736358;SERRA DO SALITRE, MG, BR
7301;RUA BELA VISTA;39;39648000;SAO SEBASTIAO DA BOA VISTA;CHAPADA DO NORTE;MG;-17,0802;-42,5481158;CHAPADA DO NORTE, MG, BR
7302;ALAMEDA DAS GAIVOTAS;401;07600000;CENTRO;MAIRIPORA;SP;-23,3183726;-46,5872221;MAIRIPORA, SP, BR
7303;RUA GUAMA;74;68516000;SERRA DOS CARAJAS;PARAUAPEBAS;PA;-6,070741;-49,9043353;PARAUAPEBAS, PA, BR
7304;RUA JOAO FAEDO;SN;99965000;CENTRO;AGUA SANTA;RS;-28,176095;-52,037784;AGUA SANTA, RS, BR
7305;RUA SAO CRISTOVAO;1840;42700000;ITINGA;LAURO DE FREITAS;BA;-12,8937825;-38,3275025;LAURO DE FREITAS, BA, BR
7306;RUA ALFREDO BERNARDO LEITE;676;09670000;VILA SANTA LUZIA;SAO BERNARDO DO CAMPO;SP;-23,6626246;-46,6050147;SAO BERNARDO DO CAMPO, SP, BR
7307;RUA PAULO SETUBAL;220;12245460;VILA ADYANA;SAO JOSE DOS CAMPOS;SP;-23,1934177;-45,8893775;SAO JOSE DOS CAMPOS, SP, BR
7308;RUA ANTONIO MORENO PEREZ;644;13803010;JARDIM MARIA BEATRIZ;MOGI MIRIM;SP;-22,4536965;-46,980366;MOGI MIRIM, SP, BR
7309;RUA MONSENHOR JOAO FELIPO;8;03110020;MOOCA;SAO PAULO;SP;-23,5566446;-46,607827;SAO PAULO, SP, BR
7310;RUA VICTORIO MAZZINI;869;16012710;AGUA BRANCA I;ARACATUBA;SP;-21,2089388;-50,3969737;ARACATUBA, SP, BR
7311;AVENIDA ROBSON MEDEIROS DE MELO;862A;57780000;CENTRO;CAPELA;AL;-9,4112155;-36,0736308;CAPELA, AL, BR
7312;RUA SAO GABRIEL;4595;64079125;NOVO HORIZONTE;TERESINA;PI;-5,113186;-42,7481148;TERESINA, PI, BR
7313;RUA CELEBRIDADE;97;76812382;TRES MARIAS;PORTO VELHO;RO;-8,7611605;-63,9004303;PORTO VELHO, RO, BR
7314;RUA SAO PAULO;634;86635970;CENTRO;LUPIONOPOLIS;PR;-22,7531519;-51,6578475;LUPIONOPOLIS, PR, BR
7315;VILA BAIANO;SN;88540000;FUNDO DO CAMPO;OTACILIO COSTA;SC;-27,506772;-50,1138045;OTACILIO COSTA, SC, BR
7316;RUA COSTA FELIPE;262;35555000;CENTRO;CAMACHO;MG;-20,621843;-45,1686586;CAMACHO, MG, BR
7317;RUA CLELIA;1626;05042000;AGUA BRANCA;SAO PAULO;SP;-23,5247883;-46,6983781;SAO PAULO, SP, BR
7318;RUA INES DE OLIVEIRA LEITAO;;74921217;PARQUE TRINDADE;APARECIDA DE GOIANIA;GO;-16,7508615;-49,2133897;APARECIDA DE GOIANIA, GO, BR
7319;RUA HELMUTH SMIDT;716;97900000;CENTRO;CERRO LARGO;RS;-28,145638;-54,7380874;CERRO LARGO, RS, BR
7320;ALD CONCEICAO;SN;57230000;ZONA RURAL;CORURIPE;AL;-10,1249995;-36,1761498;CORURIPE, AL, BR
